,source,cos_sim,target
15502,"Моя дочь по закону – не моя дочь, а Каренина. ",0.679269677018557,"Но закон и все условия нашего положения таковы, что моя дочь по закону — не моя дочь, а Каренина. "
23216,"«Да, все это кончено, и я опять одна», – сказала она себе и, не снимая шляпы, села на стоявшее у камина кресло. ",0.5583423925726714,"«Да, всё кончено, и я опять одна», — сказала она себе. "
20768,"На приглашение его два старшие тотчас же соскочили к нему и побежали с ним так же просто, как бы они побежали с няней, с мисс Гуль или с матерью. ",0.8022898605248486,"На приглашение его двое старших тотчас же подошли к нему и побежали с ним так же просто, как бы они побежали с няней или с матерью. "
1059,"Все это произошло в одно мгновение… Офицер, не помня себя, бросился на нее; около Настасьи Филипповны уже не было ее свиты; приличный господин средних лет уже успел стушеваться совершенно, а господин навеселе стоял в стороне и хохотал что было мочи. ",0.3319890205191836,"Офицер, не помня себя, бросился на неё. "
11600,"Отродясь я, грешница, так не жила… Квартира большая, казенная, и мне цельная комнатка и кроватка. ",0.6831074100390945,"Квартира большая, казённая, и мне цельная комнатка и кроватка. "
23095,"Но, друг мой, неужели ты не помнишь покойного Николая Львовича? ",0.7597435389607408,"— закричал он, обращаясь к Нине Александровне. — Но, друг мой, неужели ты не помнишь покойного Николая Львовича?"
14608,"Мне кажется, он застенчив… Когда мы вдвоем с ним, то он бывает очень умен и ласков, а в обществе он грубый человек, бретер. ",0.3574972655086302,"Мне кажется, он застенчив... "
11415,"Она уже не плачет… она добрая… Слышен глухой, далекий выстрел.",0.5729739789543346,"Слышен глухой, далёкий выстрел."
11911,"Он так завидовал блестящему Шарлю д’Эвре, так мечтал его обойти! ",0.3835868196633691,Как он мечтал быть лучше Шарля д’Эвре! 
7057,— До свиданья! ,0.73481125660059,— До свиданья!
10303,– Как не знать! ,0.6780042123895008,— Как не знать! 
1570,Не угодно ль этот финик вам принять… (Уходит.),0.7280085029284669,Не угодно ль этот финик вам принять... 
15207,"— отвечала Настенька, — я и не подумала; конечно, все может случиться, — продолжала она самым сговорчивым голосом, но в котором, как досадный диссонанс, слышалась какая-то другая, отдаленная мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра как можно раньше и, если получите что-нибудь, тотчас же дайте мне знать. ",0.8587768711785843,"— отвечала Настенька, — я и не подумала; конечно, всё может случиться, — продолжала она самым сговорчивым голосом, но в котором, как неприятный диссонанс, слышалась какая-то другая мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра, как можно раньше, и, если получите что-нибудь, тотчас же дайте мне знать. "
7639,"До обеда еще оставалось много времени, погода была прекрасная, и потому было предложено несколько различных способов провести эти остающиеся два часа. ",0.4097477604160497,До обеда ещё оставалось много времени. 
4929,– Я устал? ,0.7171665876272584,— Я устал? 
13734,"Я был уверен, что вы на ней женитесь! ",0.3465800150931355,"Он был уверен, что Урбенин не мог бить женщину. "
19689,Великие вехи забываешь»,0.6569270073012651,Великое забываешь»
11848,Дона Анна!,0.8041568888214313,Дона Анна. 
16847,"- А какие однако же вы храбрые, вот вы смеетесь, а меня так все это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел… Он пытливо и серьезно еще раз обвел глазами своих слушательниц",0.5632938048562552,"— сказала Аглая почти зло. — А какие, однако же, вы смелые, вот вы смеётесь, а менятак всё это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел..."
18702,И я проснулась,0.3170761311227956,"И слуга мне говорит: «Родами умрёте, матушка…» И я проснулась… — Какая глупость! "
4022,"Лизавета Прокофьевна чуть было не прогнала ее на место, но в ту самую минуту, как только было Аглая начала декламировать известную балладу, два новые гостя, громко говоря, вступили с улицы на террасу. ",0.512228862883648,"В ту самую минуту, как только Аглая начала читать известные стихи, два новых гостя вошли на террасу. "
5319,Вы уж потерпите минутку». ,0.5713210341373409,Подождите минутку». 
5157,Долли посмотрела на нее вопросительно.,0.8750566572868478,Долли посмотрела на неё вопросительно. 
15067,"Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и конечно вследствие своей силы и здоровья, любили иногда хорошо покушать, чего вовсе не желали скрывать. ",0.8603432569762318,"IV  Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и любили иногда хорошо покушать."
6423,"— Нашей армии, нашим завоеваниям, России! ",0.6279514018963571,— Нашей армии! 
624,"Мне хочется каяться, милые сестры. ",0.8393592202325966,"Мне хочется каяться, милые сёстры. "
7105,"Да вот у меня жена, два сына, две дочери, всех шестеро, как бы нам поровну разделить твоих гусей?",0.4865766921382804,Как нам правильно разделить твоих гусей?
15195,- Так молчите. ,0.7111170873380357,— Так молчите. 
1207,"— сказала Дарья Александровна, как будто презирая его зa низость этого чувства в сравнении с тем, другим чувством, которое знают одни женщины. — В то время как вы делали предложение Кити, она именно была в том положении, когда она не могла отвечать. ",0.584483099521697,"В то время как вы делали предложение Кити, она была в том положении, когда она не могла отвечать. "
12501,Князь весь съежился. ,0.5367462003821208,Князь весь съёжился. 
14625,"Она увидала его прежде, чем он ее, и она поняла, что он думал о ней.",0.7555064880299976,"Она увидала его раньше, чем он её, и она поняла, что он думал о ней. "
14078,"Он изучал жидкое, твердое и газообразное состояния тел. ",0.8904405113917818,"Он изучал жидкое, твёрдое и газообразное состояние тел. "
17591,Дона Анна О боже! ,0.7047682273381434,О боже! 
11460,Ей-богу! ,0.3145260181992554,Видеть её не могу! 
20846,"Всё тяжелое, что было в его отношениях к Анне, вся неопределенность, оставшаяся после их разговора, всё выскочило из его головы; он с наслаждением и волнением думал теперь о скачке, о том, что он всё-таки поспеет, и изредка ожидание счастья свидания нынешней ночи вспыхивало ярким светом в его воображении.",0.3987417930247316,"Всё тяжёлое, что было в его отношениях с Анной, всё забыл Вронский; он с волнением думал теперь о скачках. "
85,"Я должен наконец говорить, высказать, что у меня накипело тут, в сердце... ",0.8451669158535124,"Я должен наконец говорить, высказать, что у меня наболело тут в сердце..."
11381,"Вот Андрей наш, братец… Все надежды пропали. ",0.556403046617807,Все надежды пропали. 
21711,— спросил Павел Иваныч,0.3734802964770759,"А Павел Иванович сказал, что не понимает Сергея"
7877,"Не выйди я за Урбенина, я могла бы выйти теперь за графа!» ",0.6867116463513323,"Если бы я не вышла замуж за Урбенина, я могла бы теперь выйти замуж за графа!» "
12857,"– сказала она, совершенно забыв и не слыхав, что он сказал: «для тебя и для детей».",0.7891256418757401,"— ска зала она, забыв или не услышав, что он сказал: «для тебя и для детей». "
2101,- Павлищев… Павлищев перешел в католицизм? ,0.607489851760051,Князь был вне себя. — Павлищев... перешёл в католицизм? 
2774,"Варя промолчала, потому что не знала, замечательно это или нет. ",0.7504467769326768,"Она не знала, замечательно это или нет. "
23064,Как вы думаете?,0.9480796603791484,Как вы думаете? 
4911,"Он хороший человек, удивительно даже, такой хороший… И у меня вдруг точно крылья выросли на душе, я повеселела, стало мне легко и опять захотелось работать, работать… Только вот вчера произошло что-то, какая-то тайна нависла надо мной… Чебутыкин. ",0.4757265068147836,"Только вот вчера произошло что-то, какая-то тайна нависла надо мной..."
22192,"— Как вы смешны, — сказала Дарья Александровна с грустною усмешкой, несмотря на волненье Левина. — Да, я теперь всё больше и больше понимаю,— продолжала она задумчиво. — Так вы не приедете к нам, когда Кити будет?",0.4187933910927562,"Так вы не приедете к нам, когда Кити будет? "
5120,"Ну, да все равно. ",0.7660539971457232,"Ну, да всё равно. "
6510,Какая же может быть тайна между Стивой и мной?,0.9307876662697204,Какая может быть тайна между Стивой и мной? 
6122,"Барин принял гуся и говорит мужику: — Спасибо, мужик, тебе за гуся, только не знаю, как мы твоего гуся делить будем. ",0.7792246344087885,"Барин взял гуся и говорит мужику:   — Спасибо, мужик, тебе за гуся. "
8678,V Прошло еще несколько лет. ,0.7011063649269894,Прошло ещё несколько лет. 
11051,- С ума сошла! ,0.724954225162474,— С ума сошла! 
5543,"И для князя это утро началось под влиянием тяжелых предчувствий; их можно было объяснить его болезненным состоянием, но он был слишком неопределенно грустен, и это было для него всего мучительнее. ",0.6651248851036567,V  Для князя это утро началось под влиянием тяжёлых предчувствий; их можно было объяснить его болезнью. 
14927,Казанзаки. ,0.4569672127917905,"Ни Зурова, ни Казанзаки она не нашла. "
15875,"- Ну, - говорит, - давай ещё раз побежим! ",0.3232108356228964,Потом заяц сказал: — Давай побежим ещё раз!
11256,"да, я жду лошадей».",0.6923884377598001,"— О да, я жду лошадей"
8007,Теперешнее отношение его к Анне и к ее мужу было для него просто и ясно. ,0.9527991981382168,Теперешнее отношение его к Анне и к её мужу было для него просто и ясно. 
23790,"- Вот, смотрите на нее, - говорила Настасья Филипповна, дрожа от озлобления, - на эту барышню! ",0.5691589553096817,"— Вот, смотрите на неё, — говорила Настасья Филипповна, дрожа от озлобления. — И я её за ангела считала! "
18289,"Как это ни сложно, Россию необходимо изучать.",0.865871647552144,"Как это ни сложно, изучать Россию необходимо. "
7846,И вдруг потянет теплом. ,0.360765266935899,А потом будет тепло. 
2299,— Или ты боишься со мной играть? ,0.9355677122197928,Или ты боишься со мной играть? 
20936,"То-есть такой сюрприз и удар, что… Видишь ли, милый, я не насчет состояния (хоть и ожидал, что у тебя побольше), но… мне счастье дочери… наконец… способен ли ты, так сказать, составить это… счастье-то? ",0.5791969089144741,"Я не насчёт состояния (хоть и ожидал, что у тебя побольше), но... мне счастье дочери... способен ли ты дать это... счастье-то? "
13943,"Бросить товарища не годится""",0.4451159532997149,Надо товарища нести». 
20684,- Не застрелится! ,0.8078092066303775,— Не застрелится! 
6348,"— Нет, ты счастливый человек. ",0.7719562307565271,— Ты счастливый человек. 
20601,"— Так говорите, этот мистер Морбид приходит каждый вечер в десять?",0.621049519406827,"— Так вы говорите, этот слуга приходит каждый вечер в десять? "
5771,"Живи, как тебе хочется, а я так не могу… — Знаменито, — сказала Эллочка презрительно",0.5959135609307358,"Живи, как тебе хочется, а я так не могу"
14533,"В глазах его я прочел ненависть, злобу, которые вовсе не идут к его доброму, мягкому лицу.",0.3770549222564524,В его обычно добрых глазах он увидел ненависть и злобу. 
15590,"Давеча я вел себя недостаточно сдержанно, нетактично. ",0.9094439057958664,"Давеча я вёл себя недостаточно сдержанно, нетактично. "
747,"Я в том смысле, что тут надо бы поболее точности, так сказать, более наружной определенности: извините во мне естественное беспокойство практического и благонамеренного человека, но нельзя ли тут одежду, например, особую завести, носить что-нибудь, клеймы там, что ли, какие?.. ",0.6419508005919506,"Извините во мне естественное беспокойство практического человека, но нельзя ли тут одежду, например, особую носить, что ли?.. "
5889,"- Нет, не постыжусь… Вы не по своей воле у Тоцкого были",0.5146823981005689,"— Нет, не постыжусь... "
22401,"О, ты мне враг — ты отнял у меня Все, что я в жизни… Дон Гуан Милое созданье!",0.4202046618989097,Милое созданье! 
