,Unnamed: 0,source,cos_sim,target,output
0,15502,"Моя дочь по закону – не моя дочь, а Каренина. ",0.679269677018557,"Но закон и все условия нашего положения таковы, что моя дочь по закону — не моя дочь, а Каренина. ","По закону моя дочь — не дочь Каренина, а дочь Каренина, а дочь Каренина, а дочь Каренина,"
1,23216,"«Да, все это кончено, и я опять одна», – сказала она себе и, не снимая шляпы, села на стоявшее у камина кресло. ",0.5583423925726714,"«Да, всё кончено, и я опять одна», — сказала она себе. ","«Да, всё это кончено."
2,20768,"На приглашение его два старшие тотчас же соскочили к нему и побежали с ним так же просто, как бы они побежали с няней, с мисс Гуль или с матерью. ",0.8022898605248486,"На приглашение его двое старших тотчас же подошли к нему и побежали с ним так же просто, как бы они побежали с няней или с матерью. ",На приглашении его двое старших тотчас же подошёл к нему.
3,1059,"Все это произошло в одно мгновение… Офицер, не помня себя, бросился на нее; около Настасьи Филипповны уже не было ее свиты; приличный господин средних лет уже успел стушеваться совершенно, а господин навеселе стоял в стороне и хохотал что было мочи. ",0.3319890205191836,"Офицер, не помня себя, бросился на неё. ","Офицер бросился к её; около настасьи Филипповой уже ничего не было, и господин стоял навеселе и хохотал, что было её мочи..."
4,11600,"Отродясь я, грешница, так не жила… Квартира большая, казенная, и мне цельная комнатка и кроватка. ",0.6831074100390945,"Квартира большая, казённая, и мне цельная комнатка и кроватка. ","Отродясь, я так не жил..."
5,23095,"Но, друг мой, неужели ты не помнишь покойного Николая Львовича? ",0.7597435389607408,"— закричал он, обращаясь к Нине Александровне. — Но, друг мой, неужели ты не помнишь покойного Николая Львовича?",Неужели вы не помните покойного Николаевича?
6,14608,"Мне кажется, он застенчив… Когда мы вдвоем с ним, то он бывает очень умен и ласков, а в обществе он грубый человек, бретер. ",0.3574972655086302,"Мне кажется, он застенчив... ","Когда мы с ним вдвоём, он бывает в обществе очень умён и рад."
7,11415,"Она уже не плачет… она добрая… Слышен глухой, далекий выстрел.",0.5729739789543346,"Слышен глухой, далёкий выстрел.","Она не плачет, она добрая."
8,11911,"Он так завидовал блестящему Шарлю д’Эвре, так мечтал его обойти! ",0.3835868196633691,Как он мечтал быть лучше Шарля д’Эвре! ,Он так мечтал обойти его!
9,7057,— До свиданья! ,0.73481125660059,— До свиданья!,— До свидания!
10,10303,– Как не знать! ,0.6780042123895008,— Как не знать! ,— Как не узнать!
11,1570,Не угодно ль этот финик вам принять… (Уходит.),0.7280085029284669,Не угодно ль этот финик вам принять... ,Этот финик тебе принять...
12,15207,"— отвечала Настенька, — я и не подумала; конечно, все может случиться, — продолжала она самым сговорчивым голосом, но в котором, как досадный диссонанс, слышалась какая-то другая, отдаленная мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра как можно раньше и, если получите что-нибудь, тотчас же дайте мне знать. ",0.8587768711785843,"— отвечала Настенька, — я и не подумала; конечно, всё может случиться, — продолжала она самым сговорчивым голосом, но в котором, как неприятный диссонанс, слышалась какая-то другая мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра, как можно раньше, и, если получите что-нибудь, тотчас же дайте мне знать. ","Вот что ты сделай, — продолжила она, — ты иду завтра как-можно раньше, и если получишь что-то, точас же дай мне знать!"
13,7639,"До обеда еще оставалось много времени, погода была прекрасная, и потому было предложено несколько различных способов провести эти остающиеся два часа. ",0.4097477604160497,До обеда ещё оставалось много времени. ,До обеда оставалось ещё много времени.
14,4929,– Я устал? ,0.7171665876272584,— Я устал? ,— Я устала?
15,13734,"Я был уверен, что вы на ней женитесь! ",0.3465800150931355,"Он был уверен, что Урбенин не мог бить женщину. ","Я была уверена, что ты на ней женишься!"
16,19689,Великие вехи забываешь»,0.6569270073012651,Великое забываешь»,«Великие вехи забываете»
17,11848,Дона Анна!,0.8041568888214313,Дона Анна. ,"Донна Анна, дона Анна, дона Анна, дона Ан"
18,16847,"- А какие однако же вы храбрые, вот вы смеетесь, а меня так все это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел… Он пытливо и серьезно еще раз обвел глазами своих слушательниц",0.5632938048562552,"— сказала Аглая почти зло. — А какие, однако же, вы смелые, вот вы смеётесь, а менятак всё это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел...",Он пыталиво и серьёзно ещё раз посмотрел на глаза своих слушателей.
19,18702,И я проснулась,0.3170761311227956,"И слуга мне говорит: «Родами умрёте, матушка…» И я проснулась… — Какая глупость! ",А я проснулся.
20,4022,"Лизавета Прокофьевна чуть было не прогнала ее на место, но в ту самую минуту, как только было Аглая начала декламировать известную балладу, два новые гостя, громко говоря, вступили с улицы на террасу. ",0.512228862883648,"В ту самую минуту, как только Аглая начала читать известные стихи, два новых гостя вошли на террасу. ","В ту самую секунду, когда Аглая начинала декламировать знаменитую балладу, двое новых гостей вступили из улицы к террасе."
21,5319,Вы уж потерпите минутку». ,0.5713210341373409,Подождите минутку». ,Ты потерпит минутку.
22,5157,Долли посмотрела на нее вопросительно.,0.8750566572868478,Долли посмотрела на неё вопросительно. ,Долли смотрела на неё очень внимательно.
23,15067,"Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и конечно вследствие своей силы и здоровья, любили иногда хорошо покушать, чего вовсе не желали скрывать. ",0.8603432569762318,"IV  Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и любили иногда хорошо покушать.","Все трёх девиц Епанчины была барышня здоровая, цветущая, рослая, с удивительным плечом с мощной грудью с сильными руками и, конечно, благодаря своей силе и здоровью, любила иногда хорошенько покушать."
24,6423,"— Нашей армии, нашим завоеваниям, России! ",0.6279514018963571,— Нашей армии! ,"— Наша армия, наши завоевания, Россия!"
25,624,"Мне хочется каяться, милые сестры. ",0.8393592202325966,"Мне хочется каяться, милые сёстры. ",Я хочу каяться.
26,7105,"Да вот у меня жена, два сына, две дочери, всех шестеро, как бы нам поровну разделить твоих гусей?",0.4865766921382804,Как нам правильно разделить твоих гусей?,"Да вот жена, двое сыновей, двое дочери, всёх шестеро."
27,15195,- Так молчите. ,0.7111170873380357,— Так молчите. ,— Так молчи.
28,1207,"— сказала Дарья Александровна, как будто презирая его зa низость этого чувства в сравнении с тем, другим чувством, которое знают одни женщины. — В то время как вы делали предложение Кити, она именно была в том положении, когда она не могла отвечать. ",0.584483099521697,"В то время как вы делали предложение Кити, она была в том положении, когда она не могла отвечать. ","В то время, как вы сделали предложение к Кити, он именно был в положении, которое не могла ответить."
29,12501,Князь весь съежился. ,0.5367462003821208,Князь весь съёжился. ,Князь всё смеялся.
