,Unnamed: 0,source,cos_sim,target,output
0,15502,"Моя дочь по закону – не моя дочь, а Каренина. ",0.679269677018557,"Но закон и все условия нашего положения таковы, что моя дочь по закону — не моя дочь, а Каренина. ",Мэри это законная жена Джона Локка.
1,23216,"«Да, все это кончено, и я опять одна», – сказала она себе и, не снимая шляпы, села на стоявшее у камина кресло. ",0.5583423925726714,"«Да, всё кончено, и я опять одна», — сказала она себе. ",«Я больше никогда ее снова увижу потому что мы уже будем далеко друг от друга в этой странной новой жизни которую нам предстоит начать сначала для самих себя» (с)...
2,20768,"На приглашение его два старшие тотчас же соскочили к нему и побежали с ним так же просто, как бы они побежали с няней, с мисс Гуль или с матерью. ",0.8022898605248486,"На приглашение его двое старших тотчас же подошли к нему и побежали с ним так же просто, как бы они побежали с няней или с матерью. ",Два старших брата в рассказе о белке спрыгнули при виде приглашавшего их отца без малейшего колебания.
3,1059,"Все это произошло в одно мгновение… Офицер, не помня себя, бросился на нее; около Настасьи Филипповны уже не было ее свиты; приличный господин средних лет уже успел стушеваться совершенно, а господин навеселе стоял в стороне и хохотал что было мочи. ",0.3319890205191836,"Офицер, не помня себя, бросился на неё. ",Все случилось очень быстро офицер действовал почти автоматически все эти люди были как бы сами по себе каждый из них отдельно от другого их соединяло только общее возбуждение происходящее вокруг дамы с горноспасателями.
4,11600,"Отродясь я, грешница, так не жила… Квартира большая, казенная, и мне цельная комнатка и кроватка. ",0.6831074100390945,"Квартира большая, казённая, и мне цельная комнатка и кроватка. ",Отродь никогда в жизни этим делом таким меня ни разу даже на порог дома не впустили а тут сразу кабинетик да кресло кожаное директорское с высокой спинкой напротив окна моего кабинета потому что именно здесь моя работа заключается главным образом чтобы решать поставленные задачи вот как сейчас передо мной поставленную задачу какую по счету но самую главную мою работу над заключительной часть
5,23095,"Но, друг мой, неужели ты не помнишь покойного Николая Львовича? ",0.7597435389607408,"— закричал он, обращаясь к Нине Александровне. — Но, друг мой, неужели ты не помнишь покойного Николая Львовича?",Разве вы его совсем забыли или это было так давно и он умер вовсе недавно?)
6,14608,"Мне кажется, он застенчив… Когда мы вдвоем с ним, то он бывает очень умен и ласков, а в обществе он грубый человек, бретер. ",0.3574972655086302,"Мне кажется, он застенчив... ",Мне показалось что при виде других людей Роберт стеснителен когда наедине со мной.
7,11415,"Она уже не плачет… она добрая… Слышен глухой, далекий выстрел.",0.5729739789543346,"Слышен глухой, далёкий выстрел.","Тихий голос: ""Ушел последний патрон"".)"
8,11911,"Он так завидовал блестящему Шарлю д’Эвре, так мечтал его обойти! ",0.3835868196633691,Как он мечтал быть лучше Шарля д’Эвре! ,"Знаменитый актер из ""Титаника"" считал себя соперником легендарного капитана."
9,7057,— До свиданья! ,0.73481125660059,— До свиданья!,До свидания на следующей неделе.
10,10303,– Как не знать! ,0.6780042123895008,— Как не знать! ,Ты ведь это знаешь так? Ну да ладно.
11,1570,Не угодно ль этот финик вам принять… (Уходит.),0.7280085029284669,Не угодно ль этот финик вам принять... ,Не хотите ли вы его взять себе а мсье леди
12,15207,"— отвечала Настенька, — я и не подумала; конечно, все может случиться, — продолжала она самым сговорчивым голосом, но в котором, как досадный диссонанс, слышалась какая-то другая, отдаленная мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра как можно раньше и, если получите что-нибудь, тотчас же дайте мне знать. ",0.8587768711785843,"— отвечала Настенька, — я и не подумала; конечно, всё может случиться, — продолжала она самым сговорчивым голосом, но в котором, как неприятный диссонанс, слышалась какая-то другая мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра, как можно раньше, и, если получите что-нибудь, тотчас же дайте мне знать. ",— Я никогда об этом ничего подобного не думала... Это мне совсем непонятно!.. Ты знаешь что это так на меня непохоже теперь почему ты говоришь эти ужасные вещи обо Мне? Скажи просто какие у тебя мысли насчет этого а то чувствую себя очень глупо вот честное слово
13,7639,"До обеда еще оставалось много времени, погода была прекрасная, и потому было предложено несколько различных способов провести эти остающиеся два часа. ",0.4097477604160497,До обеда ещё оставалось много времени. ,До обеденного перерыва всегда есть время для того чтобы придумать что нибудь интересное или освежить в памяти старые забытые способы развлечения.
14,4929,– Я устал? ,0.7171665876272584,— Я устал? ,Я что я устала быть бдительной и вс
15,13734,"Я был уверен, что вы на ней женитесь! ",0.3465800150931355,"Он был уверен, что Урбенин не мог бить женщину. ",Я думал ты так и сделаешь когда мы объявим о помолвке
16,19689,Великие вехи забываешь»,0.6569270073012651,Великое забываешь»,"Какие вещи ты помнишь, а какие нет?"
17,11848,Дона Анна!,0.8041568888214313,Дона Анна. ,Дона Анне сегодня исполнилось бы 80 лет.
18,16847,"- А какие однако же вы храбрые, вот вы смеетесь, а меня так все это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел… Он пытливо и серьезно еще раз обвел глазами своих слушательниц",0.5632938048562552,"— сказала Аглая почти зло. — А какие, однако же, вы смелые, вот вы смеётесь, а менятак всё это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел...","- И как вам этот рассказ? Вам правда смешно да или только мне показалось? А может быть он на самом деле такой умный потому ему приснился сон про то где мужчина с ружьем стоит у входа в пещеру 5 мин. перед тем,как зайти туда без билета."
19,18702,И я проснулась,0.3170761311227956,"И слуга мне говорит: «Родами умрёте, матушка…» И я проснулась… — Какая глупость! ",Я только что очнулся и увидел тебя.
20,4022,"Лизавета Прокофьевна чуть было не прогнала ее на место, но в ту самую минуту, как только было Аглая начала декламировать известную балладу, два новые гостя, громко говоря, вступили с улицы на террасу. ",0.512228862883648,"В ту самую минуту, как только Аглая начала читать известные стихи, два новых гостя вошли на террасу. ","Лизавете Прокофиевне пришлось уступить и пустить новых посетителей во время декламации ""Руслана"".)(4)."
21,5319,Вы уж потерпите минутку». ,0.5713210341373409,Подождите минутку». ,"Песков объяснил, почему опаздывает на встречу с Трампом."
22,5157,Долли посмотрела на нее вопросительно.,0.8750566572868478,Долли посмотрела на неё вопросительно. ,Долли только головой покачала в ответ.
23,15067,"Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и конечно вследствие своей силы и здоровья, любили иногда хорошо покушать, чего вовсе не желали скрывать. ",0.8603432569762318,"IV  Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и любили иногда хорошо покушать.","Трое из ""Преступления и наказания"" характеризовали Раскольникова так: все трое - девушки довольно красивые; одна была высока ростом (185 см) блондинка со здоровым красивым лицом... какая именно?."
24,6423,"— Нашей армии, нашим завоеваниям, России! ",0.6279514018963571,— Нашей армии! ,Российской Армии и Отчизне слава.
25,624,"Мне хочется каяться, милые сестры. ",0.8393592202325966,"Мне хочется каяться, милые сёстры. ",Мне хотелось бы покаяния и прощения.
26,7105,"Да вот у меня жена, два сына, две дочери, всех шестеро, как бы нам поровну разделить твоих гусей?",0.4865766921382804,Как нам правильно разделить твоих гусей?,Да я так и сделаю если ты извинишь мою дерзость вопрос в том кто из нас двоих будет есть больше всего гуся
27,15195,- Так молчите. ,0.7111170873380357,— Так молчите. ,Тогда просто делайте то что я говорю вам.
28,1207,"— сказала Дарья Александровна, как будто презирая его зa низость этого чувства в сравнении с тем, другим чувством, которое знают одни женщины. — В то время как вы делали предложение Кити, она именно была в том положении, когда она не могла отвечать. ",0.584483099521697,"В то время как вы делали предложение Кити, она была в том положении, когда она не могла отвечать. ",Она говорила это снисходительно и вместе жалостливо потому что ей самой было жаль не того человека который украл её мужа а той которую он обворовал вместо неё.
29,12501,Князь весь съежился. ,0.5367462003821208,Князь весь съёжился. ,Князя прошиб холодный пот.
30,14625,"Она увидала его прежде, чем он ее, и она поняла, что он думал о ней.",0.7555064880299976,"Она увидала его раньше, чем он её, и она поняла, что он думал о ней. ",Она увидела как они занимаются любовью до того когда ей стало известно об этом.
