,Unnamed: 0,source,cos_sim,target,output
0,15502,"Моя дочь по закону – не моя дочь, а Каренина. ",0.679269677018557,"Но закон и все условия нашего положения таковы, что моя дочь по закону — не моя дочь, а Каренина. ","Дочь моя по закону - не дочь моя, а дочь Каренины."
1,23216,"«Да, все это кончено, и я опять одна», – сказала она себе и, не снимая шляпы, села на стоявшее у камина кресло. ",0.5583423925726714,"«Да, всё кончено, и я опять одна», — сказала она себе. ","""""""Да, все кончено и опять я одна"""", - сказала она сама и не сняв шляпы села на кресло, стоявшее на камине."""
2,20768,"На приглашение его два старшие тотчас же соскочили к нему и побежали с ним так же просто, как бы они побежали с няней, с мисс Гуль или с матерью. ",0.8022898605248486,"На приглашение его двое старших тотчас же подошли к нему и побежали с ним так же просто, как бы они побежали с няней или с матерью. ","На приглашении его двое старших сразу же пошли к нему, и пошли с ним, как и побегали с ним няня, мисс Гуля или мать."
3,1059,"Все это произошло в одно мгновение… Офицер, не помня себя, бросился на нее; около Настасьи Филипповны уже не было ее свиты; приличный господин средних лет уже успел стушеваться совершенно, а господин навеселе стоял в стороне и хохотал что было мочи. ",0.3319890205191836,"Офицер, не помня себя, бросился на неё. ","Все это случилось в один миг... Официант не помня о себе бросился к ней, около Наташи Филипповой не было свиты, приличный джентльмен среднего возраста уже не успел абсолютно стушеваться, а джентльмен навеселе смотрел в сторону и думал, что это было моча."
4,11600,"Отродясь я, грешница, так не жила… Квартира большая, казенная, и мне цельная комнатка и кроватка. ",0.6831074100390945,"Квартира большая, казённая, и мне цельная комнатка и кроватка. ","Отродившись, грешник, я так и не жил... Дом большой, казенный, а мне целая комната и кровать."
5,23095,"Но, друг мой, неужели ты не помнишь покойного Николая Львовича? ",0.7597435389607408,"— закричал он, обращаясь к Нине Александровне. — Но, друг мой, неужели ты не помнишь покойного Николая Львовича?","Но, приятель, не помнишь ли вы покойного Льва Николаевича?"
6,14608,"Мне кажется, он застенчив… Когда мы вдвоем с ним, то он бывает очень умен и ласков, а в обществе он грубый человек, бретер. ",0.3574972655086302,"Мне кажется, он застенчив... ","Я думаю, он очень застенчивый...Когда мы с ним вдвоем, он очень умный, ласковый, и в обществе грубый, бретерный."
7,11415,"Она уже не плачет… она добрая… Слышен глухой, далекий выстрел.",0.5729739789543346,"Слышен глухой, далёкий выстрел.","Она не плачет уже... она хорошая... Слушается глухой, далекой выстрелом."
8,11911,"Он так завидовал блестящему Шарлю д’Эвре, так мечтал его обойти! ",0.3835868196633691,Как он мечтал быть лучше Шарля д’Эвре! ,Он так ненавидел блестящего Шарля Д’Эвре и так мечтал обойти его!
9,7057,— До свиданья! ,0.73481125660059,— До свиданья!,— До свидания!
10,10303,– Как не знать! ,0.6780042123895008,— Как не знать! ,– Как не узнать!
11,1570,Не угодно ль этот финик вам принять… (Уходит.),0.7280085029284669,Не угодно ль этот финик вам принять... ,Не угодно ли тебе принять эту финику...(Уходит).
12,15207,"— отвечала Настенька, — я и не подумала; конечно, все может случиться, — продолжала она самым сговорчивым голосом, но в котором, как досадный диссонанс, слышалась какая-то другая, отдаленная мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра как можно раньше и, если получите что-нибудь, тотчас же дайте мне знать. ",0.8587768711785843,"— отвечала Настенька, — я и не подумала; конечно, всё может случиться, — продолжала она самым сговорчивым голосом, но в котором, как неприятный диссонанс, слышалась какая-то другая мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра, как можно раньше, и, если получите что-нибудь, тотчас же дайте мне знать. ","- Настенька ответила, - я не думала, конечно, всё может произойти, - продолжила она самый сговорчивый голос, но где, как в досадном диссонансе, звучала еще одна, далекая мысль. - Вот что ты сделаешь, - продолжила она, - иди завтра, как можно скорее, и если что-то получишь, тогда дай мне знать, - вот что ты сделаешь, - продолжила она, - иди завтра, как можно скорее."
13,7639,"До обеда еще оставалось много времени, погода была прекрасная, и потому было предложено несколько различных способов провести эти остающиеся два часа. ",0.4097477604160497,До обеда ещё оставалось много времени. ,"Времени до обеда оставалось еще много, погода прекрасна, поэтому предлагалось несколько разных вариантов проведения этих оставшихся двух часов."
14,4929,– Я устал? ,0.7171665876272584,— Я устал? ,— Я устала?
15,13734,"Я был уверен, что вы на ней женитесь! ",0.3465800150931355,"Он был уверен, что Урбенин не мог бить женщину. ","Я была уверена, что ты на ней женишься!"
16,19689,Великие вехи забываешь»,0.6569270073012651,Великое забываешь»,"""Великие вехи ты забываешь""""."""
17,11848,Дона Анна!,0.8041568888214313,Дона Анна. ,Донна Анна.
18,16847,"- А какие однако же вы храбрые, вот вы смеетесь, а меня так все это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел… Он пытливо и серьезно еще раз обвел глазами своих слушательниц",0.5632938048562552,"— сказала Аглая почти зло. — А какие, однако же, вы смелые, вот вы смеётесь, а менятак всё это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел...","- И какие же ты храбрый, вот ты смеешься, и меня так всё это поразило его рассказом, что потом видел во сне, вот эти 5 минут... Он пытаясь и серьёзно вновь обвел глаза слушателей... Он пытаясь и серьёзно снова обвел глаза своих слушателей."
19,18702,И я проснулась,0.3170761311227956,"И слуга мне говорит: «Родами умрёте, матушка…» И я проснулась… — Какая глупость! ",А я проснулся.
20,4022,"Лизавета Прокофьевна чуть было не прогнала ее на место, но в ту самую минуту, как только было Аглая начала декламировать известную балладу, два новые гостя, громко говоря, вступили с улицы на террасу. ",0.512228862883648,"В ту самую минуту, как только Аглая начала читать известные стихи, два новых гостя вошли на террасу. ","Лизаветы Прокофьевны чуть не выгнали её на место, однако в тот момент, когда Аглая начинала произносить известный баллад, два новых гостя громко вступили из улицы к террасе."
21,5319,Вы уж потерпите минутку». ,0.5713210341373409,Подождите минутку». ,"""Ты потерпит минутку""""."""
22,5157,Долли посмотрела на нее вопросительно.,0.8750566572868478,Долли посмотрела на неё вопросительно. ,Долли вопросительно смотрела на неё.
23,15067,"Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и конечно вследствие своей силы и здоровья, любили иногда хорошо покушать, чего вовсе не желали скрывать. ",0.8603432569762318,"IV  Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и любили иногда хорошо покушать.","Все три девчонки Епанчины - барышни здоровы, цветы, ростки, удивительные плечи, мощные груди, сильные, практически как мужчины, руки, и, конечно, благодаря своей силе и здоровью, любили порой хорошо есть, чего не хотелось скрывать."
24,6423,"— Нашей армии, нашим завоеваниям, России! ",0.6279514018963571,— Нашей армии! ,"— Наша армия, наши завоевания, Россия!"
